Nation,Playername,Wickets,Average,Economy,Strikerate
England,AU Rashid,80,25.67,5.44,28.3
England,LE Plunkett,59,25.94,5.77,26.9
England,CR Woakes,48,24.35,5.20,28.0
England,MM Ali,35,49.45,5.16,57.4
England,MA Wood,29,43.10,5.40,47.8
England,BA Stokes,22,45.00,5.99,45.0
England,JT Ball,21,46.66,6.20,45.0
England,DJ Willey,19,45.15,5.68,47.6
England,TK Curran,12,31.41,6.11,30.8
England,JE Root,8,58.75,5.89,59.7
England,ST Finn,4,39.25,4.61,51.0
England,SM Curran,2,22.00,7.33,18.0
England,LA Dawson,2,35.00,8.75,24.0
England,CJ Jordan,2,47.00,5.75,49.0
England,TS Roland-Jones,1,34.00,4.85,42.0
England,C Overton,0,-,7.85,-
England,JM Bairstow,-,-,-,-
England,SW Billings,-,-,-,-
England,JC Buttler,-,-,-,-
England,BM Duckett,-,-,-,-
England,AD Hales,-,-,-,-
England,EJG Morgan,-,-,-,-
England,JJ Roy,-,-,-,-
England,JM Vince,-,-,-,-
Australia,MA Starc,43,23.58,5.16,27.4
Australia,PJ Cummins,31,31.90,5.15,37.1
Australia,JR Hazlewood,31,25.61,4.90,31.3
Australia,A Zampa,29,39.06,5.83,40.1
Australia,JP Faulkner,26,25.84,5.31,29.1
Australia,JW Hastings,18,23.94,5.75,24.9
Australia,KW Richardson,13,24.15,5.72,25.3
Australia,TM Head,12,59.00,5.82,60.7
Australia,AJ Tye,12,32.66,6.07,32.2
Australia,MR Marsh,11,47.00,5.78,48.7
Australia,NM Coulter-Nile,10,25.10,5.12,29.4
Australia,MP Stoinis,10,64.30,6.20,62.2
Australia,SM Boland,9,30.77,5.39,34.2
Australia,JA Richardson,7,38.71,7.32,31.7
Australia,B Stanlake,7,39.28,5.61,42.0
Australia,CP Tremain,7,36.42,6.37,34.2
Australia,AC Agar,6,59.50,5.85,61.0
Australia,JM Mennie,3,43.66,6.55,40.0
Australia,MC Henriques,2,74.50,5.96,75.0
Australia,NM Lyon,2,59.50,4.57,78.0
Australia,MG Neser,2,60.00,7.20,50.0
Australia,DJ Worrall,1,171.00,6.49,158.0
Australia,AJ Finch,0,-,5.34,-
Australia,GJ Maxwell,0,-,7.09,-
Australia,DJM Short,0,-,8.42,-
Australia,GJ Bailey,-,-,-,-
Australia,AT Carey,-,-,-,-
Australia,HWR Cartwright,-,-,-,-
Australia,PSP Handscomb,-,-,-,-
Australia,SD Heazlett,-,-,-,-
Australia,UT Khawaja,-,-,-,-
Australia,CA Lynn,-,-,-,-
Australia,SE Marsh,-,-,-,-
Australia,TD Paine,-,-,-,-
Australia,SPD Smith,-,-,-,-
Australia,MS Wade,-,-,-,-
Australia,DA Warner,-,-,-,-
Australia,CL White,-,-,-,-
SouthAfrica,K Rabada,38,33.52,5.33,37.6
SouthAfrica,Imran Tahir,34,30.00,4.76,37.7
SouthAfrica,AL Phehlukwayo,26,37.50,5.67,39.6
SouthAfrica,WD Parnell,24,25.75,5.87,26.2
SouthAfrica,CH Morris,19,41.68,5.36,46.5
SouthAfrica,D Pretorius,17,27.11,4.88,33.2
SouthAfrica,JP Duminy,9,46.44,5.81,47.8
SouthAfrica,L Ngidi,8,25.50,6.18,24.7
SouthAfrica,M Morkel,7,44.00,4.96,53.1
SouthAfrica,KJ Abbott,6,14.66,4.88,18.0
SouthAfrica,DW Steyn,5,50.80,6.99,43.6
SouthAfrica,KA Maharaj,4,24.25,6.00,24.2
SouthAfrica,D Paterson,4,45.00,6.70,40.2
SouthAfrica,AM Phangiso,4,12.50,4.28,17.5
SouthAfrica,T Shamsi,4,50.25,5.02,60.0
SouthAfrica,AK Markram,2,19.00,7.60,15.0
SouthAfrica,PWA Mulder,1,32.00,4.00,48.0
SouthAfrica,F Behardien,0,-,10.25,-
SouthAfrica,HM Amla,-,-,-,-
SouthAfrica,T Bavuma,-,-,-,-
SouthAfrica,Q de Kock,-,-,-,-
SouthAfrica,AB de Villiers,-,-,-,-
SouthAfrica,F du Plessis,-,-,-,-
SouthAfrica,H Klaasen,-,-,-,-
SouthAfrica,DA Miller,-,-,-,-
SouthAfrica,RR Rossouw,-,-,-,-
SouthAfrica,K Zondo,-,-,-,-
Westindies,JO Holder,53,30.75,5.24,35.2
Westindies,AR Nurse,34,40.17,4.93,48.8
Westindies,AS Joseph,24,34.08,6.48,31.5
Westindies,ST Gabriel,17,39.05,5.58,41.9
Westindies,D Bishoo,14,52.78,5.09,62.1
Westindies,CR Brathwaite,14,44.71,5.39,49.7
Westindies,KAJ Roach,10,18.60,4.42,25.2
Westindies,KOK Williams,9,32.55,5.32,36.6
Westindies,ML Cummins,8,54.00,6.26,51.7
Westindies,KMA Paul,6,28.00,4.34,38.6
Westindies,SS Cottrell,5,20.60,4.98,24.8
Westindies,NO Miller,4,37.75,5.03,45.0
Westindies,SP Narine,3,48.00,5.14,56.0
Westindies,SJ Benn,2,148.00,5.58,159.0
Westindies,CH Gayle,2,39.00,5.31,44.0
Westindies,JE Taylor,2,115.50,7.00,99.0
Westindies,RR Beaton,1,102.00,6.00,102.0
Westindies,KC Brathwaite,1,140.00,5.52,152.0
Westindies,RL Chase,1,48.00,7.02,41.0
Westindies,KA Pollard,1,97.00,8.08,72.0
Westindies,R Powell,1,151.00,5.96,152.0
Westindies,AD Russell,1,62.00,6.88,54.0
Westindies,JL Carter,0,-,7.11,-
Westindies,JN Mohammed,0,-,5.78,-
Westindies,V Permaul,0,-,7.75,-
Westindies,MN Samuels,0,-,6.00,-
Westindies,SW Ambris,-,-,-,-
Westindies,DM Bravo,-,-,-,-
Westindies,J Charles,-,-,-,-
Westindies,SO Hetmyer,-,-,-,-
Westindies,KA Hope,-,-,-,-
Westindies,SD Hope,-,-,-,-
Westindies,E Lewis,-,-,-,-
Westindies,KOA Powell,-,-,-,-
Westindies,D Ramdin,-,-,-,-
Westindies,CAK Walton,-,-,-,-
Newzealand,TA Boult,63,26.20,5.34,29.4
Newzealand,MJ Santner,44,33.68,4.53,44.5
Newzealand,TG Southee,41,41.24,5.56,44.4
Newzealand,LH Ferguson,21,35.61,5.84,36.5
Newzealand,IS Sodhi,20,30.40,5.82,31.3
Newzealand,MJ Henry,16,32.31,5.91,32.7
Newzealand,JDS Neesham,14,43.28,6.65,39.0
Newzealand,C de Grandhomme,10,55.30,5.36,61.8
Newzealand,AF Milne,10,32.20,5.71,33.8
Newzealand,KS Williamson,8,24.25,4.73,30.7
Newzealand,TD Astle,7,21.42,5.35,24.0
Newzealand,C Munro,7,49.00,5.19,56.5
Newzealand,JS Patel,7,25.42,5.08,30.0
Newzealand,CJ Anderson,5,30.60,6.12,30.0
Newzealand,DAJ Bracewell,5,23.60,5.61,25.2
Newzealand,SC Kuggeleijn,5,11.60,4.14,16.8
Newzealand,HK Bennett,4,19.50,4.03,29.0
Newzealand,MJ Guptill,2,3.00,6.00,3.0
Newzealand,SHA Rance,1,110.00,6.28,105.0
Newzealand,AP Devcich,0,-,5.38,-
Newzealand,NT Broom,-,-,-,-
Newzealand,DG Brownlie,-,-,-,-
Newzealand,MS Chapman,-,-,-,-
Newzealand,TWM Latham,-,-,-,-
Newzealand,HM Nicholls,-,-,-,-
Newzealand,L Ronchi,-,-,-,-
Newzealand,LRPL Taylor,-,-,-,-
Newzealand,BJ Watling,-,-,-,-
Newzealand,GH Worker,-,-,-,-
INDIA,JJ Bumrah,53,24.96,4.82,31.0
INDIA,Kuldeep Yadav,48,19.35,4.82,24.0
INDIA,HH Pandya,40,40.35,5.56,43.4
INDIA,YS Chahal,39,25.56,4.90,31.2
INDIA,B Kumar,30,39.96,5.26,45.5
INDIA,UT Yadav,26,29.11,5.90,29.5
INDIA,KM Jadhav,16,32.00,5.18,37.0
INDIA,A Mishra,15,14.33,4.79,17.9
INDIA,AR Patel,14,38.42,4.47,51.5
