Nation,Playername,Truns,Average,StrikeRate
England,JE Root,2057,64.28,89.39
England,JM Bairstow,1648,56.82,107.92
England,JJ Roy,1548,38.70,103.89
England,EJG Morgan,1521,41.10,94.53
England,AD Hales,1203,40.10,101.60
England,JC Buttler,1170,46.80,114.48
England,BA Stokes,1161,58.05,94.69
England,MM Ali,719,27.65,113.22
England,CR Woakes,436,39.63,107.65
England,AU Rashid,197,16.41,91.62
England,SW Billings,181,22.62,78.69
England,DJ Willey,180,22.50,84.50
England,LE Plunkett,132,16.50,104.76
England,BM Duckett,123,41.00,80.92
England,JM Vince,80,20.00,85.10
England,TK Curran,70,70.00,129.62
England,JT Ball,38,9.50,77.55
England,TS Roland-Jones,37,-,100.00
England,MA Wood,18,4.50,85.71
England,SM Curran,15,15.00,71.42
England,CJ Jordan,15,-,83.33
England,LA Dawson,10,10.00,76.92
England,ST Finn,5,5.00,71.42
England,C Overton,-,-,-
Australia,DA Warner,1641,52.93,104.78
Australia,TM Head,1257,38.09,91.41
Australia,AJ Finch,1116,39.85,97.29
Australia,SPD Smith,1085,43.40,83.39
Australia,MP Stoinis,638,49.07,101.26
Australia,MS Wade,516,28.66,91.81
Australia,GJ Bailey,424,38.54,73.86
Australia,GJ Maxwell,418,29.85,105.55
Australia,MR Marsh,404,28.85,91.19
Australia,SE Marsh,327,40.87,98.79
Australia,JP Faulkner,154,19.25,75.12
Australia,TD Paine,153,21.85,81.81
Australia,PSP Handscomb,149,21.28,100.00
Australia,UT Khawaja,144,28.80,82.28
Australia,AC Agar,139,23.16,92.05
Australia,PJ Cummins,110,12.22,79.71
Australia,JW Hastings,91,30.33,100.00
Australia,DJM Short,83,41.50,85.56
Australia,MA Starc,82,8.20,107.89
Australia,AT Carey,77,25.66,111.59
Australia,A Zampa,60,8.57,63.15
Australia,AJ Tye,57,14.25,118.75
Australia,MC Henriques,45,11.25,80.35
Australia,CL White,35,17.50,66.03
Australia,CP Tremain,23,23.00,62.16
Australia,JA Richardson,21,10.50,61.76
Australia,CA Lynn,16,16.00,133.33
Australia,KW Richardson,15,5.00,44.11
