Nation,Playername,Wickets,Average,Economy,Strikerate
England,CJ Jordan,17,32.11,9.15,21.0
England,AU Rashid,14,24.00,7.46,19.2
England,LE Plunkett,11,30.09,8.59,21.0
England,DJ Willey,10,38.20,8.58,26.7
England,TK Curran,7,27.85,9.28,18.0
England,MA Wood,5,22.60,9.82,13.8
England,MM Ali,4,47.50,8.90,32.0
England,TS Mills,3,31.33,7.83,24.0
England,JT Ball,2,41.50,11.85,21.0
England,LA Dawson,2,62.50,7.81,48.0
England,BA Stokes,2,60.50,8.06,45.0
England,MS Crane,1,62.00,7.75,48.0
England,DJ Malan,1,27.00,13.50,12.0
England,JE Root,0,-,7.00,-
England,JM Bairstow,-,-,-,-
England,SW Billings,-,-,-,-
England,JC Buttler,-,-,-,-
England,AD Hales,-,-,-,-
England,LS Livingstone,-,-,-,-
England,EJG Morgan,-,-,-,-
England,JJ Roy,-,-,-,-
England,JM Vince,-,-,-,-
Australia,AJ Tye,26,17.92,8.34,12.8
Australia,B Stanlake,16,23.43,8.33,16.8
Australia,A Zampa,12,11.66,5.83,12.0
Australia,AC Agar,9,28.55,7.13,24.0
Australia,JP Faulkner,9,15.11,7.15,12.6
Australia,JA Richardson,9,23.44,8.11,17.3
Australia,KW Richardson,8,27.12,9.04,18.0
Australia,GJ Maxwell,7,17.42,9.38,11.1
Australia,MP Stoinis,7,36.71,7.71,28.5
Australia,JP Behrendorff,4,6.50,5.20,7.5
Australia,MA Starc,4,14.50,7.25,12.0
Australia,SM Boland,3,8.66,6.50,8.0
Australia,AJ Turner,3,14.00,7.00,12.0
Australia,NM Coulter-Nile,2,21.50,7.16,18.0
Australia,PJ Cummins,2,38.50,7.70,30.0
Australia,JW Hastings,2,11.50,5.75,12.0
Australia,MJ Swepson,2,18.50,9.25,12.0
Australia,TM Head,1,30.00,10.00,18.0
Australia,MC Henriques,1,93.00,9.30,60.0
Australia,JD Wildermuth,1,32.00,10.66,18.0
Australia,DT Christian,0,-,14.00,-
Australia,DJM Short,0,-,13.00,-
Australia,GJ Bailey,-,-,-,-
Australia,AT Carey,-,-,-,-
Australia,BR Dunk,-,-,-,-
Australia,AJ Finch,-,-,-,-
Australia,UT Khawaja,-,-,-,-
Australia,M Klinger,-,-,-,-
Australia,CA Lynn,-,-,-,-
Australia,NJ Maddinson,-,-,-,-
Australia,PM Nevill,-,-,-,-
Australia,TD Paine,-,-,-,-
Australia,MS Wade,-,-,-,-
Australia,DA Warner,-,-,-,-
SouthAfrica,Imran Tahir,12,12.83,7.39,10.4
SouthAfrica,AL Phehlukwayo,12,24.00,8.34,17.2
SouthAfrica,CJ Dala,7,15.71,9.16,10.2
SouthAfrica,CH Morris,7,25.14,7.65,19.7
SouthAfrica,D Paterson,7,34.71,9.40,22.1
SouthAfrica,L Ngidi,6,7.33,5.50,8.0
SouthAfrica,AM Phangiso,4,30.50,8.13,22.5
SouthAfrica,JP Duminy,3,24.33,7.30,20.0
SouthAfrica,R Frylinck,3,14.00,7.00,12.0
SouthAfrica,BE Hendricks,3,23.33,10.76,13.0
SouthAfrica,WD Parnell,3,49.00,10.50,28.0
SouthAfrica,T Shamsi,2,69.50,8.68,48.0
SouthAfrica,M Morkel,1,75.00,9.37,48.0
SouthAfrica,D Pretorius,1,47.00,9.40,30.0
SouthAfrica,JT Smuts,1,101.00,7.97,76.0
SouthAfrica,HM Amla,-,-,-,-
SouthAfrica,F Behardien,-,-,-,-
SouthAfrica,TB de Bruyn,-,-,-,-
SouthAfrica,Q de Kock,-,-,-,-
SouthAfrica,AB de Villiers,-,-,-,-
SouthAfrica,F du Plessis,-,-,-,-
SouthAfrica,RR Hendricks,-,-,-,-
SouthAfrica,C Jonker,-,-,-,-
SouthAfrica,H Klaasen,-,-,-,-
SouthAfrica,HG Kuhn,-,-,-,-
SouthAfrica,DA Miller,-,-,-,-
SouthAfrica,M Mosehle,-,-,-,-
Westindies,KOK Williams,29,17.03,8.34,12.2
Westindies,CR Brathwaite,18,25.83,8.45,18.3
Westindies,S Badree,14,36.42,7.08,30.8
Westindies,SP Narine,10,32.40,6.89,28.2
Westindies,JE Taylor,9,33.77,9.50,21.3
Westindies,AR Nurse,7,21.85,7.65,17.1
Westindies,KMA Paul,6,30.66,8.42,21.8
Westindies,AD Russell,5,29.00,9.06,19.2
Westindies,RR Emrit,4,39.00,9.75,24.0
Westindies,DJ Bravo,3,40.66,8.71,28.0
Westindies,MN Samuels,3,20.33,8.13,15.0
Westindies,JO Holder,2,54.50,7.69,42.5
Westindies,R Powell,2,33.50,9.57,21.0
Westindies,OF Smith,2,39.00,11.14,21.0
Westindies,SS Cottrell,1,21.00,10.50,12.0
Westindies,KA Pollard,1,71.00,8.87,48.0
Westindies,AM McCarthy,0,-,6.00,-
Westindies,JN Mohammed,0,-,6.50,-
Westindies,V Permaul,0,-,16.00,-
Westindies,J Charles,-,-,-,-
Westindies,ADS Fletcher,-,-,-,-
Westindies,CH Gayle,-,-,-,-
Westindies,SO Hetmyer,-,-,-,-
Westindies,SD Hope,-,-,-,-
Westindies,E Lewis,-,-,-,-
Westindies,N Pooran,-,-,-,-
Westindies,D Ramdin,-,-,-,-
Westindies,LMP Simmons,-,-,-,-
Westindies,CAK Walton,-,-,-,-
Newzealand,TA Boult,22,20.81,9.00,13.8
Newzealand,IS Sodhi,20,22.50,7.89,17.1
Newzealand,TG Southee,16,22.56,8.80,15.3
Newzealand,MJ Santner,12,33.66,7.67,26.3
Newzealand,C de Grandhomme,7,43.57,9.28,28.1
Newzealand,SHA Rance,7,14.71,8.58,10.2
Newzealand,BM Wheeler,7,30.85,10.12,18.2
Newzealand,LH Ferguson,3,10.66,8.00,8.0
Newzealand,C Munro,3,33.33,9.37,21.3
Newzealand,KS Williamson,3,13.66,5.85,14.0
Newzealand,DAJ Bracewell,2,5.00,5.00,6.0
Newzealand,AK Kitchen,2,23.00,7.66,18.0
Newzealand,MJ Henry,1,44.00,11.00,24.0
Newzealand,AF Milne,0,-,7.50,-
Newzealand,JDS Neesham,0,-,17.00,-
Newzealand,CJ Anderson,-,-,-,-
Newzealand,TA Blundell,-,-,-,-
Newzealand,NT Broom,-,-,-,-
Newzealand,TC Bruce,-,-,-,-
Newzealand,MS Chapman,-,-,-,-
Newzealand,MJ Guptill,-,-,-,-
Newzealand,TWM Latham,-,-,-,-
Newzealand,HM Nicholls,-,-,-,-
Newzealand,GD Phillips,-,-,-,-
Newzealand,L Ronchi,-,-,-,-
Newzealand,TL Seifert,-,-,-,-
Newzealand,LRPL Taylor,-,-,-,-
INDIA,YS Chahal,39,18.15,7.91,13.7
INDIA,Kuldeep Yadav,24,13.20,7.28,10.8
INDIA,JJ Bumrah,19,21.21,7.37,17.2
INDIA,HH Pandya,18,23.94,7.93,18.1
INDIA,B Kumar,14,28.28,7.28,23.2
INDIA,JD Unadkat,14,18.42,8.41,13.1
INDIA,Washington Sundar,9,15.11,5.66,16.0
INDIA,SN Thakur,8,30.25,8.80,20.6
INDIA,UT Yadav,7,17.71,8.85,12.0
INDIA,A Mishra,5,14.40,6.00,14.4
INDIA,S Kaul,3,13.00,6.50,12.0
INDIA,Mohammed Shami,3,41.66,12.93,19.3
INDIA,Mohammed Siraj,3,49.33,12.33,24.0
INDIA,A Nehra,3,37.33,8.00,28.0
INDIA,V Shankar,3,51.00,9.00,34.0
INDIA,R Ashwin,2,43.00,7.81,33.0
INDIA,RA Jadeja,2,45.50,10.70,25.5
INDIA,AR Patel,2,52.00,8.66,36.0
INDIA,DL Chahar,1,43.00,10.75,24.0
INDIA,Parvez Rasool,1,32.00,8.00,24.0
INDIA,SK Raina,1,116.00,8.92,78.0
INDIA,STR Binny,0,-,32.00,-
INDIA,S Dhawan,-,-,-,-
INDIA,MS Dhoni,-,-,-,-
INDIA,SS Iyer,-,-,-,-
INDIA,KM Jadhav,-,-,-,-
INDIA,KD Karthik,-,-,-,-
INDIA,V Kohli,-,-,-,-
INDIA,MK Pandey,-,-,-,-
INDIA,RR Pant,-,-,-,-
INDIA,AM Rahane,-,-,-,-
INDIA,KL Rahul,-,-,-,-
INDIA,RG Sharma,-,-,-,-
INDIA,Yuvraj Singh,-,-,-,-
Pakistan,Shadab Khan,32,18.00,6.72,16.0
Pakistan,Hasan Ali,27,22.70,8.24,16.5
Pakistan,Mohammad Amir,18,15.72,6.28,15.0
Pakistan,Faheem Ashraf,17,19.35,7.12,16.2
Pakistan,Imad Wasim,17,18.64,5.87,19.0
Pakistan,Mohammad Nawaz (3),12,23.00,6.27,22.0
Pakistan,Usman Khan,9,20.00,6.66,18.0
Pakistan,Rumman Raees,8,27.50,7.63,21.6
Pakistan,Wahab Riaz,8,23.50,7.23,19.5
Pakistan,Sohail Tanvir,7,26.57,6.93,23.0
Pakistan,Mohammad Hafeez,5,10.60,6.00,10.6
Pakistan,Hussain Talat,4,10.00,8.00,7.5
Pakistan,Shaheen Shah Afridi,4,24.00,8.00,18.0
Pakistan,Sohail Khan,3,24.00,9.00,16.0
Pakistan,Shoaib Malik,2,27.50,6.87,24.0
Pakistan,Aamer Yamin,1,25.00,6.25,24.0
Pakistan,Ahmed Shehzad,-,-,-,-
Pakistan,Asif Ali,-,-,-,-
Pakistan,Babar Azam,-,-,-,-
Pakistan,Fakhar Zaman,-,-,-,-
Pakistan,Haris Sohail,-,-,-,-
Pakistan,Kamran Akmal,-,-,-,-
Pakistan,Khalid Latif,-,-,-,-
Pakistan,Mohammad Rizwan,-,-,-,-
Pakistan,Sahibzada Farhan,-,-,-,-
Pakistan,Sarfraz Ahmed,-,-,-,-
Pakistan,Sharjeel Khan,-,-,-,-
Pakistan,Umar Akmal,-,-,-,-
Pakistan,Umar Amin,-,-,-,-
