Nation,Playername,Truns,Average,StrikeRate
England,JJ Roy,387,24.18,150.58
England,AD Hales,381,38.10,145.41
England,JC Buttler,335,23.92,129.84
England,EJG Morgan,277,25.18,131.27
England,DJ Malan,250,50.00,150.60
England,JM Bairstow,201,40.20,150.00
England,JE Root,193,27.57,104.89
England,SW Billings,106,11.77,123.25
England,DJ Willey,91,11.37,135.82
England,BA Stokes,64,16.00,114.28
England,CJ Jordan,38,7.60,115.15
England,JM Vince,31,15.50,110.71
England,LE Plunkett,30,6.00,130.43
England,MM Ali,22,11.00,78.57
England,LA Dawson,17,17.00,212.50
England,LS Livingstone,16,8.00,84.21
England,AU Rashid,14,7.00,93.33
England,MA Wood,10,-,83.33
England,TK Curran,8,8.00,133.33
England,TS Mills,0,0.00,0.00
England,JT Ball,-,-,-
England,MS Crane,-,-,-
Australia,AJ Finch,622,62.20,183.48
Australia,GJ Maxwell,542,67.75,175.40
Australia,DJM Short,377,41.88,131.81
Australia,TM Head,291,29.10,131.67
Australia,DA Warner,159,17.66,143.24
Australia,MC Henriques,146,48.66,135.18
Australia,M Klinger,143,47.66,127.67
Australia,CA Lynn,93,23.25,138.80
Australia,AT Carey,64,21.33,120.75
Australia,BR Dunk,60,30.00,171.42
Australia,AC Agar,54,13.50,112.50
Australia,MP Stoinis,51,10.20,100.00
Australia,UT Khawaja,42,21.00,113.51
Australia,AJ Tye,32,10.66,128.00
Australia,AJ Turner,26,8.66,123.80
Australia,TD Paine,25,8.33,113.63
Australia,JP Faulkner,18,6.00,138.46
Australia,MS Wade,14,14.00,60.86
Australia,DT Christian,9,9.00,69.23
Australia,NJ Maddinson,7,3.50,53.84
Australia,B Stanlake,7,7.00,140.00
Australia,JA Richardson,6,6.00,200.00
Australia,A Zampa,4,-,133.33
Australia,PJ Cummins,3,3.00,100.00
Australia,PM Nevill,3,-,300.00
Australia,MJ Swepson,3,-,75.00
Australia,NM Coulter-Nile,1,1.00,50.00
Australia,JD Wildermuth,1,-,100.00
Australia,KW Richardson,0,0.00,0.00
Australia,GJ Bailey,-,-,-
Australia,JP Behrendorff,-,-,-
Australia,SM Boland,-,-,-
Australia,JW Hastings,-,-,-
Australia,MA Starc,-,-,-
SouthAfrica,AB de Villiers,304,50.66,152.00
SouthAfrica,F Behardien,283,47.16,142.21
SouthAfrica,DA Miller,240,26.66,162.16
SouthAfrica,JP Duminy,168,33.60,137.70
SouthAfrica,RR Hendricks,154,22.00,119.37
SouthAfrica,HM Amla,150,50.00,153.06
SouthAfrica,JT Smuts,126,15.75,110.52
SouthAfrica,M Mosehle,105,21.00,161.53
SouthAfrica,H Klaasen,92,30.66,191.66
SouthAfrica,Q de Kock,59,29.50,122.91
SouthAfrica,C Jonker,49,49.00,204.16
SouthAfrica,AL Phehlukwayo,40,13.33,129.03
SouthAfrica,HG Kuhn,39,19.50,150.00
SouthAfrica,F du Plessis,36,36.00,144.00
SouthAfrica,CH Morris,33,8.25,106.45
SouthAfrica,TB de Bruyn,26,13.00,162.50
SouthAfrica,AM Phangiso,13,13.00,68.42
SouthAfrica,WD Parnell,10,10.00,90.90
SouthAfrica,M Morkel,5,-,166.66
SouthAfrica,D Paterson,5,5.00,250.00
SouthAfrica,CJ Dala,2,-,66.66
SouthAfrica,L Ngidi,2,-,66.66
SouthAfrica,Imran Tahir,1,1.00,16.66
SouthAfrica,T Shamsi,0,-,0.00
SouthAfrica,R Frylinck,-,-,-
SouthAfrica,BE Hendricks,-,-,-
SouthAfrica,D Pretorius,-,-,-
Westindies,E Lewis,526,40.46,163.86
Westindies,MN Samuels,440,31.42,103.77
Westindies,CAK Walton,197,14.07,113.87
Westindies,ADS Fletcher,176,17.60,95.65
Westindies,CR Brathwaite,172,21.50,123.74
Westindies,J Charles,144,28.80,175.60
Westindies,D Ramdin,107,53.50,157.35
Westindies,KA Pollard,104,13.00,91.22
Westindies,JN Mohammed,90,18.00,87.37
Westindies,DJ Bravo,88,22.00,102.32
Westindies,CH Gayle,88,17.60,111.39
Westindies,R Powell,67,8.37,103.07
Westindies,JE Taylor,65,16.25,154.76
Westindies,LMP Simmons,64,9.14,112.28
Westindies,SP Narine,61,10.16,117.30
Westindies,AD Russell,56,28.00,151.35
Westindies,AR Nurse,47,-,102.17
Westindies,JO Holder,40,20.00,121.21
Westindies,KMA Paul,28,28.00,116.66
Westindies,N Pooran,25,8.33,113.63
Westindies,RR Emrit,17,5.66,62.96
Westindies,S Badree,16,4.00,66.66
Westindies,SD Hope,15,15.00,88.23
Westindies,SO Hetmyer,7,7.00,233.33
Westindies,OF Smith,6,6.00,120.00
Westindies,KOK Williams,6,2.00,60.00
Westindies,AM McCarthy,5,5.00,62.50
Westindies,SS Cottrell,-,-,-
Westindies,V Permaul,-,-,-
Newzealand,C Munro,673,44.86,179.94
Newzealand,MJ Guptill,465,33.21,138.80
Newzealand,KS Williamson,349,24.92,112.58
Newzealand,TC Bruce,226,18.83,128.40
Newzealand,LRPL Taylor,159,39.75,129.26
Newzealand,C de Grandhomme,149,18.62,165.55
Newzealand,MJ Santner,130,26.00,152.94
Newzealand,CJ Anderson,117,39.00,172.05
Newzealand,GD Phillips,97,16.16,108.98
Newzealand,MS Chapman,81,27.00,122.72
Newzealand,TG Southee,52,13.00,216.66
Newzealand,TWM Latham,39,39.00,108.33
Newzealand,IS Sodhi,39,13.00,97.50
Newzealand,AK Kitchen,38,12.66,118.75
Newzealand,BM Wheeler,37,18.50,132.14
Newzealand,TL Seifert,29,14.50,145.00
Newzealand,JDS Neesham,20,10.00,117.64
Newzealand,TA Blundell,17,17.00,80.95
Newzealand,HM Nicholls,8,4.00,72.72
Newzealand,NT Broom,6,6.00,85.71
Newzealand,TA Boult,2,-,100.00
Newzealand,SHA Rance,1,1.00,50.00
Newzealand,DAJ Bracewell,0,0.00,0.00
Newzealand,L Ronchi,0,0.00,0.00
Newzealand,LH Ferguson,-,-,-
Newzealand,MJ Henry,-,-,-
