Nation,Playername,Truns,Average,StrikeRate
England,JE Root,2179,46.36,55.90
England,JM Bairstow,1713,37.23,55.20
England,AN Cook,1712,35.66,47.76
England,MM Ali,1330,35.00,55.02
England,BA Stokes,1177,35.66,53.45
England,DJ Malan,724,27.84,41.08
England,MD Stoneman,526,27.68,44.27
England,CR Woakes,513,24.42,47.19
England,JM Vince,418,27.86,47.07
England,SCJ Broad,382,11.23,60.73
England,KK Jennings,373,24.86,43.47
England,JC Buttler,316,39.50,54.76
England,GS Ballance,232,19.33,42.41
England,AU Rashid,221,17.00,39.46
England,H Hameed,219,43.80,34.21
England,T Westley,193,24.12,42.60
England,DM Bess,111,37.00,51.62
England,BM Duckett,110,15.71,57.89
England,SM Curran,107,35.66,61.49
England,MA Wood,106,13.25,70.19
England,C Overton,98,24.50,53.26
England,JM Anderson,92,6.13,37.24
England,AD Hales,89,22.25,38.03
England,LA Dawson,84,21.00,42.63
England,TS Roland-Jones,82,20.50,69.49
England,TK Curran,66,33.00,55.00
England,JT Ball,60,10.00,52.17
England,ZS Ansari,49,9.80,36.02
England,ST Finn,39,13.00,44.31
England,MJ Leach,30,30.00,40.54
England,MS Crane,6,3.00,54.54
England,GJ Batty,5,1.66,10.63
Australia,SPD Smith,2262,64.62,52.59
Australia,DA Warner,1856,46.40,69.43
Australia,UT Khawaja,1092,37.65,49.54
Australia,SE Marsh,974,37.46,40.00
Australia,PSP Handscomb,829,43.63,51.81
Australia,MR Marsh,677,32.23,52.27
Australia,MT Renshaw,636,33.47,42.48
Australia,MA Starc,460,17.69,72.10
Australia,TD Paine,407,45.22,51.00
Australia,CT Bancroft,402,30.92,45.68
Australia,PJ Cummins,350,20.58,41.96
Australia,NM Lyon,267,7.85,61.52
Australia,MS Wade,263,20.23,43.47
Australia,GJ Maxwell,259,37.00,56.79
Australia,JR Hazlewood,160,8.88,38.74
Australia,PM Nevill,132,18.85,40.00
Australia,AC Voges,89,11.12,35.17
Australia,AC Agar,65,32.50,44.82
Australia,HWR Cartwright,55,27.50,44.00
Australia,SNJ O'Keefe,53,8.83,26.23
Australia,JA Burns,49,8.16,46.22
Australia,PM Siddle,31,31.00,54.38
Australia,JM Bird,29,14.50,43.93
Australia,NJ Maddinson,27,6.75,34.61
Australia,JM Mennie,10,5.00,41.66
Australia,MC Henriques,8,4.00,28.57
Australia,CJ Ferguson,4,2.00,17.39
Australia,JM Holland,1,1.00,5.26
Australia,CJ Sayers,0,0.00,0.00
SouthAfrica,D Elgar,1994,44.31,45.27
SouthAfrica,HM Amla,1664,34.66,50.71
SouthAfrica,F du Plessis,1620,43.78,54.16
SouthAfrica,Q de Kock,1518,34.50,72.01
SouthAfrica,T Bavuma,1105,32.50,47.02
SouthAfrica,AK Markram,1040,47.27,63.18
SouthAfrica,VD Philander,760,25.33,49.70
SouthAfrica,AB de Villiers,691,53.15,65.49
SouthAfrica,JP Duminy,680,34.00,55.82
SouthAfrica,SC Cook,492,28.94,44.12
SouthAfrica,KA Maharaj,403,14.92,69.96
SouthAfrica,K Rabada,375,12.50,45.45
SouthAfrica,TB de Bruyn,234,21.27,45.79
SouthAfrica,M Morkel,169,12.07,60.14
SouthAfrica,HG Kuhn,113,14.12,38.04
SouthAfrica,CH Morris,75,18.75,40.54
SouthAfrica,DW Steyn,51,8.50,53.12
SouthAfrica,S van Zyl,40,20.00,33.33
